Landmark index,x,y
1,60,158
2,60,194
3,67,231
4,71,262
5,83,297
6,103,322
7,127,338
8,156,349
9,199,359
10,242,349
11,272,338
12,295,322
13,316,297
14,327,262
15,331,231
16,338,194
17,338,158
18,92,112
19,106,101
20,129,94
21,147,97
22,165,101
23,233,101
24,251,97
25,270,94
26,293,101
27,307,112
28,199,140
29,199,163
30,199,186
31,199,204
32,179,227
33,188,227
34,199,231
35,211,227
36,220,227
37,117,140
38,129,130
39,147,133
40,163,142
41,149,147
42,131,145
43,235,142
44,251,133
45,270,130
46,281,140
47,268,145
48,249,147
49,154,274
50,167,265
51,190,258
52,199,259
53,208,258
54,231,265
55,245,274
56,227,281
57,215,286
58,199,286
59,184,286
60,172,281
61,154,274
62,186,270
63,199,268
64,213,270
65,245,274
66,213,272
67,199,273
68,186,272
