Landmark index,x,y
1,62,181
2,64,216
3,72,252
4,78,284
5,88,322
6,110,346
7,131,360
8,154,367
9,199,374
10,244,367
11,267,360
12,289,346
13,310,322
14,320,284
15,327,252
16,334,216
17,337,181
18,91,117
19,104,98
20,128,86
21,147,86
22,164,91
23,235,91
24,251,86
25,270,86
26,294,98
27,308,117
28,199,128
29,199,147
30,199,166
31,199,185
32,178,218
33,188,218
34,199,218
35,211,218
36,220,218
37,119,143
38,128,134
39,147,134
40,162,140
41,147,143
42,131,145
43,237,140
44,251,134
45,270,134
46,279,143
47,267,145
48,251,143
49,150,280
50,169,261
51,190,252
52,199,252
53,209,252
54,230,261
55,249,280
56,227,284
57,213,290
58,199,290
59,185,290
60,171,284
61,154,280
62,185,266
63,199,266
64,213,266
65,244,280
66,213,271
67,199,271
68,185,271
