Landmark index,x,y
1,55,174
2,60,208
3,62,242
4,69,274
5,82,309
6,100,334
7,123,345
8,154,352
9,199,359
10,244,352
11,276,345
12,298,334
13,316,309
14,330,274
15,336,242
16,339,208
17,343,174
18,91,118
19,107,103
20,130,96
21,148,96
22,166,101
23,233,101
24,251,96
25,269,96
26,292,103
27,307,118
28,199,135
29,199,153
30,199,171
31,199,188
32,177,218
33,186,218
34,199,220
35,213,218
36,222,218
37,118,141
38,130,132
39,147,132
40,163,143
41,147,145
42,129,145
43,235,143
44,251,132
45,269,132
46,280,141
47,269,145
48,251,145
49,157,274
50,170,258
51,191,247
52,199,251
53,208,247
54,229,258
55,241,274
56,228,278
57,215,283
58,199,283
59,184,283
60,170,278
61,159,274
62,186,265
63,199,260
64,213,265
65,239,274
66,213,267
67,199,269
68,186,267
