Landmark index,x,y
1,60,149
2,62,189
3,65,224
4,72,258
5,81,290
6,103,314
7,126,328
8,154,335
9,199,343
10,244,335
11,273,328
12,296,314
13,317,290
14,327,258
15,334,224
16,337,189
17,339,149
18,90,111
19,105,97
20,126,91
21,147,91
22,161,94
23,237,94
24,251,91
25,273,91
26,294,97
27,308,111
28,199,140
29,199,158
30,199,177
31,199,196
32,178,217
33,187,217
34,199,220
35,211,217
36,220,217
37,117,139
38,131,132
39,145,132
40,164,141
41,147,146
42,131,146
43,235,141
44,253,132
45,268,132
46,282,139
47,268,146
48,251,146
49,155,264
50,171,251
51,190,239
52,199,243
53,209,239
54,228,251
55,244,264
56,225,264
57,213,267
58,199,267
59,185,267
60,174,264
61,159,260
62,185,255
63,199,253
64,213,255
65,240,260
66,213,252
67,199,253
68,185,252
