Landmark index,x,y
1,69,182
2,68,216
3,75,250
4,80,279
5,90,310
6,113,334
7,132,345
8,156,352
9,199,358
10,242,352
11,266,345
12,286,334
13,308,310
14,318,279
15,323,250
16,330,216
17,330,182
18,93,118
19,107,97
20,129,86
21,148,87
22,165,89
23,234,89
24,251,87
25,270,86
26,291,97
27,306,118
28,199,135
29,199,155
30,199,174
31,199,192
32,178,220
33,187,220
34,199,222
35,212,220
36,221,220
37,119,142
38,131,132
39,146,132
40,163,142
41,148,145
42,128,147
43,236,142
44,252,132
45,267,132
46,279,142
47,270,147
48,251,145
49,146,273
50,166,256
51,190,246
52,199,251
53,209,246
54,233,256
55,252,273
56,233,280
57,216,283
58,199,285
59,183,283
60,165,280
61,149,273
62,182,263
63,199,261
64,216,263
65,250,273
66,216,268
67,199,271
68,182,268
