Landmark index,x,y
1,67,147
2,67,181
3,76,217
4,80,249
5,92,284
6,111,314
7,132,333
8,155,351
9,199,360
10,243,351
11,266,333
12,287,314
13,307,284
14,318,249
15,323,217
16,332,181
17,332,147
18,95,107
19,111,95
20,130,90
21,149,92
22,164,97
23,234,97
24,250,92
25,269,90
26,287,95
27,304,107
28,199,146
29,199,169
30,199,197
31,199,216
32,179,235
33,185,237
34,199,239
35,213,237
36,220,235
37,118,139
38,132,132
39,146,132
40,162,141
41,148,146
42,132,146
43,236,141
44,253,132
45,266,132
46,281,139
47,267,146
48,250,146
49,155,279
50,172,269
51,190,267
52,199,267
53,209,267
54,227,269
55,243,279
56,227,288
57,213,295
58,199,295
59,185,295
60,171,288
61,157,279
62,185,279
63,199,276
64,213,279
65,241,279
66,213,279
67,199,281
68,185,279
