Landmark index,x,y
1,55,164
2,56,203
3,60,243
4,65,274
5,78,313
6,97,342
7,121,357
8,153,369
9,199,379
10,245,369
11,277,357
12,302,342
13,321,313
14,334,274
15,338,243
16,343,203
17,343,164
18,90,114
19,107,99
20,129,94
21,148,92
22,165,97
23,233,97
24,250,92
25,270,94
26,291,99
27,309,114
28,199,131
29,199,155
30,199,175
31,199,194
32,177,223
33,187,223
34,199,229
35,212,223
36,221,223
37,119,140
38,129,133
39,148,133
40,163,140
41,148,145
42,129,146
43,236,140
44,251,133
45,270,133
46,280,140
47,270,146
48,251,145
49,155,286
50,170,267
51,189,258
52,199,262
53,209,258
54,228,267
55,243,286
56,228,291
57,216,298
58,199,301
59,182,298
60,170,291
61,158,284
62,185,277
63,199,272
64,214,277
65,240,284
66,214,281
67,199,281
68,185,281
