Landmark index,x,y
1,59,144
2,59,183
3,64,219
4,74,257
5,83,294
6,103,325
7,125,344
8,153,363
9,199,376
10,245,363
11,274,344
12,296,325
13,315,294
14,325,257
15,335,219
16,339,183
17,339,144
18,91,112
19,107,105
20,129,100
21,148,100
22,163,105
23,235,105
24,250,100
25,269,100
26,291,105
27,308,112
28,199,144
29,199,168
30,199,192
31,199,212
32,178,233
33,187,235
34,199,241
35,212,235
36,221,233
37,115,139
38,129,132
39,148,132
40,164,141
41,148,146
42,129,146
43,235,141
44,250,132
45,269,132
46,283,139
47,269,146
48,250,146
49,151,286
50,168,276
51,190,269
52,199,270
53,209,269
54,231,276
55,247,286
56,231,298
57,216,303
58,199,303
59,183,303
60,168,298
61,154,286
62,185,283
63,199,284
64,214,283
65,245,286
66,214,289
67,199,289
68,185,289
