Landmark index,x,y
1,58,152
2,58,192
3,65,228
4,70,262
5,83,298
6,101,324
7,124,342
8,155,355
9,199,366
10,244,355
11,275,342
12,298,324
13,315,298
14,329,262
15,334,228
16,340,192
17,340,152
18,92,112
19,107,98
20,128,92
21,146,92
22,164,99
23,235,99
24,253,92
25,271,92
26,291,98
27,306,112
28,199,139
29,199,165
30,199,188
31,199,211
32,177,228
33,186,230
34,199,233
35,213,230
36,222,228
37,117,139
38,130,134
39,148,134
40,163,141
41,148,145
42,130,145
43,235,141
44,251,134
45,269,134
46,281,139
47,268,145
48,251,145
49,148,270
50,166,261
51,190,255
52,199,259
53,208,255
54,232,261
55,251,270
56,230,282
57,215,286
58,199,291
59,184,286
60,168,282
61,152,271
62,184,268
63,199,268
64,215,268
65,246,271
66,215,273
67,199,273
68,184,273
