Landmark index,x,y
1,62,166
2,64,199
3,71,233
4,78,267
5,89,298
6,107,323
7,127,339
8,157,350
9,199,355
10,242,350
11,271,339
12,291,323
13,309,298
14,321,267
15,327,233
16,334,199
17,337,166
18,93,114
19,107,101
20,130,96
21,148,96
22,164,100
23,235,100
24,251,96
25,269,96
26,291,101
27,306,114
28,199,139
29,199,157
30,199,180
31,199,198
32,179,220
33,188,224
34,199,225
35,210,224
36,219,220
37,116,141
38,132,132
39,148,132
40,161,141
41,148,146
42,132,145
43,238,141
44,251,132
45,266,132
46,283,141
47,267,145
48,251,146
49,150,269
50,168,260
51,190,256
52,199,256
53,208,256
54,231,260
55,249,269
56,228,274
57,215,278
58,199,278
59,183,278
60,171,274
61,152,269
62,183,265
63,199,265
64,215,265
65,246,269
66,213,265
67,199,265
68,186,265
