Landmark index,x,y
1,26.0,122.0
2,26.0,166.0
3,37.0,211.0
4,42.0,249.0
5,59.0,293.0
6,86.0,321.0
7,114.0,337.0
8,153.0,348.0
9,208.0,359.0
10,257.0,348.0
11,290.0,332.0
12,318.0,310.0
13,340.0,277.0
14,351.0,238.0
15,357.0,200.0
16,362.0,155.0
17,362.0,111.0
18,64.0,67.0
19,81.0,56.0
20,109.0,45.0
21,131.0,45.0
22,153.0,51.0
23,235.0,45.0
24,257.0,40.0
25,279.0,34.0
26,307.0,40.0
27,324.0,56.0
28,197.0,95.0
29,197.0,122.0
30,197.0,150.0
31,202.0,172.0
32,175.0,200.0
33,186.0,200.0
34,202.0,205.0
35,213.0,200.0
36,224.0,200.0
37,98.0,100.0
38,109.0,89.0
39,131.0,89.0
40,153.0,100.0
41,136.0,106.0
42,114.0,106.0
43,241.0,95.0
44,257.0,84.0
45,279.0,78.0
46,296.0,89.0
47,279.0,95.0
48,257.0,100.0
49,147.0,260.0
50,164.0,249.0
51,191.0,238.0
52,202.0,238.0
53,213.0,238.0
54,241.0,244.0
55,257.0,255.0
56,235.0,266.0
57,224.0,271.0
58,202.0,271.0
59,186.0,271.0
60,169.0,266.0
61,147.0,260.0
62,186.0,255.0
63,202.0,249.0
64,219.0,249.0
65,257.0,255.0
66,219.0,255.0
67,202.0,255.0
68,186.0,255.0
