Landmark index,x,y
1,31.0,139.0
2,37.0,183.0
3,42.0,222.0
4,53.0,260.0
5,64.0,304.0
6,92.0,332.0
7,120.0,348.0
8,147.0,354.0
9,202.0,365.0
10,252.0,359.0
11,279.0,348.0
12,301.0,332.0
13,324.0,304.0
14,335.0,260.0
15,340.0,222.0
16,351.0,178.0
17,351.0,139.0
18,70.0,62.0
19,86.0,40.0
20,114.0,29.0
21,136.0,29.0
22,158.0,34.0
23,241.0,34.0
24,257.0,29.0
25,279.0,29.0
26,307.0,45.0
27,324.0,67.0
28,202.0,78.0
29,202.0,100.0
30,202.0,122.0
31,202.0,144.0
32,175.0,183.0
33,186.0,183.0
34,202.0,183.0
35,213.0,183.0
36,224.0,183.0
37,103.0,95.0
38,114.0,84.0
39,136.0,84.0
40,153.0,95.0
41,136.0,95.0
42,120.0,95.0
43,241.0,89.0
44,257.0,84.0
45,279.0,84.0
46,290.0,95.0
47,279.0,100.0
48,257.0,95.0
49,142.0,255.0
50,164.0,233.0
51,191.0,222.0
52,202.0,222.0
53,213.0,222.0
54,235.0,233.0
55,257.0,255.0
56,235.0,260.0
57,219.0,266.0
58,202.0,266.0
59,186.0,266.0
60,169.0,260.0
61,147.0,255.0
62,186.0,238.0
63,202.0,238.0
64,219.0,238.0
65,252.0,255.0
66,219.0,244.0
67,202.0,244.0
68,186.0,244.0
