Landmark index,x,y
1,20.0,128.0
2,26.0,166.0
3,26.0,211.0
4,31.0,249.0
5,48.0,293.0
6,64.0,326.0
7,92.0,337.0
8,125.0,348.0
9,180.0,359.0
10,235.0,354.0
11,279.0,348.0
12,307.0,332.0
13,335.0,304.0
14,351.0,260.0
15,362.0,222.0
16,368.0,183.0
17,373.0,139.0
18,59.0,62.0
19,75.0,40.0
20,103.0,34.0
21,125.0,34.0
22,147.0,40.0
23,230.0,45.0
24,252.0,40.0
25,274.0,40.0
26,301.0,51.0
27,324.0,67.0
28,191.0,84.0
29,186.0,106.0
30,186.0,128.0
31,186.0,150.0
32,158.0,183.0
33,169.0,183.0
34,186.0,189.0
35,202.0,189.0
36,213.0,189.0
37,92.0,89.0
38,103.0,78.0
39,125.0,78.0
40,147.0,95.0
41,125.0,95.0
42,103.0,95.0
43,235.0,95.0
44,252.0,84.0
45,274.0,84.0
46,290.0,95.0
47,274.0,100.0
48,252.0,100.0
49,131.0,255.0
50,147.0,233.0
51,175.0,222.0
52,186.0,227.0
53,197.0,222.0
54,219.0,238.0
55,235.0,255.0
56,219.0,260.0
57,202.0,266.0
58,180.0,266.0
59,164.0,266.0
60,147.0,260.0
61,136.0,255.0
62,169.0,244.0
63,186.0,238.0
64,202.0,244.0
65,235.0,255.0
66,202.0,249.0
67,186.0,249.0
68,169.0,244.0
