Landmark index,x,y
1,48.0,172.0
2,53.0,211.0
3,64.0,249.0
4,75.0,282.0
5,86.0,315.0
6,114.0,337.0
7,136.0,348.0
8,164.0,354.0
9,219.0,354.0
10,263.0,343.0
11,290.0,332.0
12,313.0,315.0
13,335.0,282.0
14,346.0,244.0
15,346.0,211.0
16,351.0,172.0
17,346.0,133.0
18,59.0,100.0
19,70.0,73.0
20,92.0,56.0
21,114.0,56.0
22,136.0,56.0
23,213.0,40.0
24,230.0,34.0
25,252.0,34.0
26,279.0,40.0
27,301.0,62.0
28,180.0,100.0
29,186.0,122.0
30,186.0,144.0
31,186.0,166.0
32,169.0,200.0
33,180.0,200.0
34,191.0,200.0
35,208.0,194.0
36,219.0,194.0
37,92.0,122.0
38,103.0,111.0
39,120.0,106.0
40,142.0,117.0
41,125.0,122.0
42,103.0,128.0
43,224.0,100.0
44,241.0,89.0
45,257.0,84.0
46,274.0,95.0
47,263.0,100.0
48,241.0,100.0
49,142.0,266.0
50,158.0,244.0
51,186.0,227.0
52,197.0,233.0
53,208.0,227.0
54,235.0,233.0
55,263.0,249.0
56,241.0,260.0
57,224.0,266.0
58,202.0,271.0
59,186.0,271.0
60,164.0,271.0
61,142.0,266.0
62,180.0,249.0
63,197.0,244.0
64,219.0,244.0
65,257.0,249.0
66,219.0,249.0
67,202.0,255.0
68,180.0,255.0
