Landmark index,x,y
1,37.0,117.0
2,37.0,161.0
3,48.0,200.0
4,53.0,238.0
5,70.0,277.0
6,92.0,310.0
7,120.0,332.0
8,147.0,348.0
9,202.0,359.0
10,252.0,348.0
11,279.0,321.0
12,301.0,299.0
13,324.0,260.0
14,335.0,216.0
15,340.0,178.0
16,351.0,133.0
17,351.0,95.0
18,53.0,67.0
19,70.0,51.0
20,92.0,45.0
21,114.0,45.0
22,131.0,51.0
23,213.0,45.0
24,235.0,40.0
25,257.0,34.0
26,279.0,40.0
27,301.0,51.0
28,180.0,106.0
29,180.0,133.0
30,180.0,166.0
31,180.0,189.0
32,164.0,211.0
33,169.0,216.0
34,186.0,216.0
35,202.0,211.0
36,213.0,211.0
37,81.0,106.0
38,98.0,95.0
39,114.0,95.0
40,136.0,106.0
41,120.0,111.0
42,98.0,111.0
43,224.0,95.0
44,241.0,84.0
45,257.0,84.0
46,274.0,89.0
47,257.0,100.0
48,241.0,100.0
49,142.0,266.0
50,158.0,255.0
51,180.0,249.0
52,191.0,249.0
53,202.0,249.0
54,224.0,249.0
55,246.0,260.0
56,224.0,271.0
57,208.0,282.0
58,191.0,282.0
59,175.0,282.0
60,158.0,277.0
61,142.0,266.0
62,175.0,266.0
63,191.0,260.0
64,208.0,260.0
65,241.0,260.0
66,208.0,260.0
67,191.0,266.0
68,175.0,266.0
