Landmark index,x,y
1,31.0,111.0
2,31.0,155.0
3,37.0,200.0
4,42.0,238.0
5,53.0,282.0
6,75.0,315.0
7,103.0,332.0
8,142.0,348.0
9,197.0,359.0
10,246.0,348.0
11,279.0,337.0
12,307.0,321.0
13,329.0,288.0
14,346.0,244.0
15,351.0,211.0
16,357.0,166.0
17,357.0,122.0
18,70.0,56.0
19,92.0,40.0
20,114.0,34.0
21,136.0,34.0
22,158.0,40.0
23,235.0,40.0
24,252.0,34.0
25,274.0,40.0
26,301.0,45.0
27,318.0,62.0
28,197.0,78.0
29,197.0,106.0
30,197.0,128.0
31,197.0,150.0
32,169.0,183.0
33,180.0,183.0
34,197.0,189.0
35,208.0,183.0
36,219.0,183.0
37,103.0,89.0
38,114.0,78.0
39,136.0,78.0
40,153.0,89.0
41,136.0,95.0
42,114.0,95.0
43,235.0,89.0
44,252.0,84.0
45,274.0,84.0
46,285.0,89.0
47,274.0,95.0
48,252.0,95.0
49,147.0,255.0
50,164.0,233.0
51,186.0,222.0
52,197.0,227.0
53,208.0,222.0
54,230.0,233.0
55,246.0,255.0
56,230.0,260.0
57,219.0,266.0
58,197.0,271.0
59,180.0,271.0
60,164.0,260.0
61,153.0,255.0
62,180.0,244.0
63,197.0,238.0
64,213.0,244.0
65,246.0,249.0
66,213.0,249.0
67,197.0,249.0
68,180.0,249.0
