Landmark index,x,y
1,42.0,95.0
2,42.0,139.0
3,48.0,183.0
4,59.0,227.0
5,70.0,266.0
6,92.0,304.0
7,114.0,326.0
8,147.0,348.0
9,202.0,365.0
10,252.0,354.0
11,285.0,332.0
12,313.0,310.0
13,335.0,277.0
14,346.0,233.0
15,357.0,189.0
16,362.0,150.0
17,362.0,106.0
18,81.0,62.0
19,103.0,51.0
20,125.0,45.0
21,147.0,45.0
22,164.0,56.0
23,246.0,56.0
24,263.0,56.0
25,285.0,56.0
26,313.0,62.0
27,329.0,67.0
28,208.0,100.0
29,208.0,128.0
30,202.0,155.0
31,202.0,178.0
32,180.0,200.0
33,191.0,205.0
34,202.0,211.0
35,219.0,205.0
36,230.0,205.0
37,109.0,89.0
38,125.0,84.0
39,147.0,84.0
40,164.0,95.0
41,147.0,100.0
42,125.0,100.0
43,246.0,100.0
44,263.0,89.0
45,285.0,89.0
46,301.0,100.0
47,285.0,106.0
48,263.0,106.0
49,147.0,260.0
50,169.0,249.0
51,191.0,244.0
52,202.0,244.0
53,213.0,244.0
54,241.0,255.0
55,257.0,266.0
56,241.0,277.0
57,224.0,282.0
58,202.0,282.0
59,186.0,282.0
60,169.0,277.0
61,153.0,260.0
62,186.0,260.0
63,202.0,260.0
64,219.0,260.0
65,257.0,266.0
66,219.0,266.0
67,202.0,266.0
68,186.0,266.0
