Landmark index,x,y
1,20.0,95.0
2,20.0,144.0
3,26.0,189.0
4,26.0,233.0
5,42.0,277.0
6,64.0,310.0
7,92.0,337.0
8,131.0,354.0
9,186.0,370.0
10,241.0,359.0
11,279.0,343.0
12,307.0,326.0
13,329.0,293.0
14,346.0,249.0
15,357.0,211.0
16,368.0,166.0
17,368.0,117.0
18,70.0,51.0
19,86.0,34.0
20,114.0,29.0
21,136.0,29.0
22,158.0,40.0
23,246.0,40.0
24,268.0,34.0
25,290.0,34.0
26,313.0,45.0
27,335.0,62.0
28,202.0,89.0
29,202.0,122.0
30,202.0,150.0
31,197.0,178.0
32,169.0,200.0
33,180.0,200.0
34,197.0,205.0
35,213.0,205.0
36,224.0,200.0
37,98.0,84.0
38,114.0,78.0
39,136.0,78.0
40,153.0,89.0
41,136.0,95.0
42,114.0,95.0
43,241.0,95.0
44,263.0,89.0
45,285.0,89.0
46,301.0,95.0
47,285.0,100.0
48,263.0,100.0
49,131.0,249.0
50,153.0,238.0
51,186.0,233.0
52,197.0,238.0
53,208.0,233.0
54,235.0,244.0
55,257.0,255.0
56,230.0,266.0
57,213.0,271.0
58,197.0,277.0
59,175.0,271.0
60,153.0,266.0
61,136.0,249.0
62,175.0,249.0
63,197.0,249.0
64,213.0,249.0
65,252.0,255.0
66,213.0,255.0
67,197.0,255.0
68,175.0,255.0
