Landmark index,x,y
1,31.0,128.0
2,37.0,166.0
3,48.0,211.0
4,53.0,249.0
5,70.0,288.0
6,92.0,315.0
7,120.0,337.0
8,158.0,348.0
9,213.0,354.0
10,263.0,348.0
11,296.0,332.0
12,318.0,315.0
13,340.0,282.0
14,351.0,244.0
15,362.0,200.0
16,368.0,161.0
17,368.0,117.0
18,75.0,62.0
19,92.0,45.0
20,120.0,40.0
21,142.0,40.0
22,164.0,45.0
23,252.0,40.0
24,268.0,34.0
25,290.0,34.0
26,318.0,40.0
27,335.0,56.0
28,208.0,89.0
29,213.0,111.0
30,213.0,139.0
31,213.0,161.0
32,186.0,189.0
33,197.0,194.0
34,213.0,194.0
35,224.0,194.0
36,235.0,189.0
37,103.0,95.0
38,125.0,84.0
39,142.0,84.0
40,158.0,95.0
41,142.0,100.0
42,125.0,100.0
43,252.0,89.0
44,268.0,78.0
45,290.0,78.0
46,307.0,89.0
47,290.0,95.0
48,268.0,95.0
49,147.0,249.0
50,175.0,238.0
51,202.0,233.0
52,213.0,233.0
53,224.0,233.0
54,252.0,238.0
55,268.0,249.0
56,246.0,255.0
57,230.0,260.0
58,213.0,260.0
59,191.0,260.0
60,175.0,255.0
61,153.0,249.0
62,191.0,244.0
63,213.0,244.0
64,230.0,244.0
65,268.0,249.0
66,230.0,244.0
67,213.0,244.0
68,197.0,244.0
